gameid,1stTeamId,2ndTeamId,1stTeamPoint,2ndTeamPoint,duration,season
20000001,NYK,PHI,72,101,48,2001
20000002,BKN,CLE,82,86,48,2001
20000003,ORL,WAS,97,86,48,2001
20000004,ATL,CHA,82,106,48,2001
20000005,TOR,DET,95,104,48,2001
20000006,CHI,SAC,81,100,48,2001
20000007,DAL,MIL,97,93,48,2001
20000008,HOU,MIN,98,106,48,2001
20000009,SAS,IND,98,85,48,2001
20000010,UTA,LAC,107,94,48,2001
20000011,GSW,PHX,96,94,48,2001
20000012,POR,LAL,86,96,48,2001
20000013,VAN,SEA,94,88,48,2001
20000014,BOS,DET,103,83,48,2001
20000015,PHI,TOR,104,98,48,2001
20000016,MIA,ORL,105,79,48,2001
20000017,CHA,WAS,77,95,48,2001
20000018,CLE,SAC,102,100,48,2001
20000019,LAL,UTA,92,97,48,2001
20000020,SEA,DEN,112,99,48,2001
20000021,NYK,ATL,94,69,48,2001
20000022,DAL,IND,94,88,48,2001
20000023,HOU,MIL,115,93,48,2001
20000024,SAS,MIN,103,91,48,2001
20000025,DEN,GSW,101,97,48,2001
20000026,PHX,POR,108,82,48,2001
20000027,LAC,VAN,91,99,48,2001
20000028,BOS,TOR,93,91,48,2001
20000029,WAS,NYK,76,80,48,2001
20000030,ORL,PHI,80,87,48,2001
20000031,CHA,MIA,83,79,48,2001
20000032,DET,SAC,93,100,48,2001
20000033,CHI,BKN,82,92,48,2001
20000034,BKN,CHA,87,98,48,2001
20000035,MIA,PHI,82,84,48,2001
20000036,ATL,ORL,104,107,48,2001
20000037,TOR,WAS,103,96,48,2001
20000038,CLE,BOS,91,89,48,2001
20000039,IND,CHI,94,81,48,2001
20000040,MIL,DET,97,88,48,2001
20000041,MIN,SAC,99,91,48,2001
20000042,DAL,UTA,106,112,48,2001
20000043,DEN,PHX,99,102,48,2001
20000044,LAC,HOU,77,74,48,2001
20000045,GSW,SAS,105,117,48,2001
20000046,SEA,POR,90,97,48,2001
20000047,VAN,LAL,89,98,48,2001
20000048,PHX,HOU,104,99,48,2001
20000049,LAL,LAC,108,103,48,2001
20000050,ORL,SEA,110,99,48,2001
20000051,DEN,DAL,96,108,48,2001
20000052,UTA,MIN,98,92,48,2001
20000053,SAC,POR,79,75,48,2001
20000054,VAN,ATL,97,87,48,2001
20000055,TOR,BOS,105,75,48,2001
20000056,CHI,WAS,83,88,48,2001
20000057,MIL,NYK,89,103,48,2001
20000058,HOU,LAL,84,74,48,2001
20000059,PHX,SAS,100,81,48,2001
20000060,POR,ATL,97,88,48,2001
20000061,NYK,CLE,97,99,48,2001
20000062,PHI,DET,103,94,48,2001
20000063,WAS,BKN,86,102,48,2001
20000064,ORL,CHA,90,96,48,2001
20000065,MIA,SEA,87,81,48,2001
20000066,IND,MIL,108,97,48,2001
20000067,DAL,VAN,74,101,48,2001
20000068,SAS,LAL,91,81,48,2001
20000069,DEN,MIN,109,107,48,2001
20000070,LAC,UTA,87,93,48,2001
20000071,SAC,GSW,115,84,48,2001
20000072,BKN,DET,94,108,48,2001
20000073,CHA,SEA,94,102,48,2001
20000074,CHI,ORL,95,90,48,2001
20000075,MIN,PHI,82,84,48,2001
20000076,HOU,VAN,85,78,48,2001
20000077,PHX,ATL,88,79,48,2001
20000078,POR,DEN,107,91,48,2001
20000079,BOS,NYK,101,103,48,2001
20000080,WAS,IND,74,86,48,2001
20000081,TOR,CLE,115,88,48,2001
20000082,DAL,SAS,79,77,48,2001
20000083,UTA,MIA,80,87,48,2001
20000084,LAC,ATL,115,106,48,2001
20000085,GSW,SAC,107,114,48,2001
20000086,NYK,CHA,81,67,48,2001
20000087,BKN,SEA,126,91,48,2001
20000088,PHI,BOS,85,83,48,2001
20000089,CLE,WAS,86,73,48,2001
20000090,IND,DET,94,84,48,2001
20000091,CHI,TOR,75,98,48,2001
20000092,MIL,MIN,92,103,48,2001
20000093,SAS,VAN,91,78,48,2001
20000094,PHX,MIA,84,82,48,2001
20000095,POR,HOU,111,88,48,2001
20000096,DET,SEA,101,92,48,2001
20000097,DEN,LAC,95,79,48,2001
20000098,LAL,HOU,105,99,48,2001
20000099,GSW,ORL,99,105,48,2001
20000100,SAC,DAL,109,84,48,2001
20000101,BKN,POR,82,94,48,2001
20000102,LAC,DAL,76,90,48,2001
20000103,MIA,CHA,89,86,48,2001
20000104,ATL,POR,99,97,48,2001
20000105,CLE,GSW,96,86,48,2001
20000106,HOU,CHI,110,83,48,2001
20000107,SAS,UTA,86,79,48,2001
20000108,LAL,DEN,119,103,48,2001
20000109,SAC,ORL,96,82,48,2001
20000110,SEA,NYK,96,75,48,2001
20000111,BOS,WAS,116,109,48,2001
20000112,BKN,MIA,93,91,48,2001
20000113,PHI,CLE,107,98,48,2001
20000114,DET,IND,88,92,48,2001
20000115,MIL,ATL,84,74,48,2001
20000116,MIN,GSW,92,90,48,2001
20000117,PHX,DAL,99,78,48,2001
20000118,LAC,NYK,78,74,48,2001
20000119,WAS,SAS,95,99,48,2001
20000120,TOR,POR,80,86,48,2001
20000121,HOU,CHA,84,80,48,2001
20000122,DEN,CHI,89,85,48,2001
20000123,UTA,ORL,99,84,48,2001
20000124,SAC,LAL,110,112,48,2001
20000125,VAN,LAC,72,76,48,2001
20000126,BOS,ATL,106,99,48,2001
20000127,PHI,MIA,94,73,48,2001
20000128,CHA,DET,89,96,48,2001
20000129,IND,GSW,90,92,48,2001
20000130,MIL,CLE,89,76,48,2001
20000131,MIN,SAS,99,94,48,2001
20000132,PHX,NYK,85,90,48,2001
20000133,SEA,DAL,95,99,48,2001
20000134,BKN,IND,97,92,48,2001
20000135,WAS,BOS,109,89,48,2001
20000136,MIA,POR,86,80,48,2001
20000137,ATL,MIN,84,94,48,2001
20000138,TOR,MIL,111,102,48,2001
20000139,HOU,PHX,94,89,48,2001
20000140,DEN,LAL,87,86,48,2001
20000141,UTA,CHI,109,64,48,2001
20000142,LAC,SEA,83,86,48,2001
20000143,VAN,DAL,88,91,48,2001
20000144,NYK,GSW,88,71,48,2001
20000145,ORL,POR,102,110,48,2001
20000146,DET,CHA,96,105,48,2001
20000147,LAL,CHI,104,96,48,2001
20000148,BOS,PHI,90,114,48,2001
20000149,TOR,CHA,64,100,48,2001
20000150,UTA,DAL,98,107,48,2001
20000151,LAC,BKN,85,86,48,2001
20000152,VAN,DEN,92,95,48,2001
20000153,WAS,POR,94,104,48,2001
20000154,ORL,NYK,84,85,48,2001
20000155,CLE,DET,117,98,48,2001
20000156,IND,HOU,89,101,48,2001
20000157,DAL,SEA,110,116,48,2001
20000158,GSW,CHI,89,77,48,2001
20000159,BOS,HOU,96,81,48,2001
20000160,MIA,CLE,67,86,48,2001
20000161,CHA,PHI,88,73,48,2001
20000162,ATL,NYK,78,74,48,2001
20000163,MIL,POR,84,93,48,2001
20000164,MIN,VAN,101,100,48,2001
20000165,SAS,SEA,112,85,48,2001
20000166,UTA,DEN,116,78,48,2001
20000167,PHX,BKN,97,85,48,2001
20000168,LAL,GSW,111,91,48,2001
20000169,SAC,CHI,100,71,48,2001
20000170,IND,TOR,91,111,48,2001
20000171,BOS,ORL,103,98,48,2001
20000172,ATL,PHI,67,76,48,2001
20000173,CLE,MIA,85,80,48,2001
20000174,DET,VAN,118,96,48,2001
20000175,IND,WAS,99,87,48,2001
20000176,MIL,CHA,90,106,48,2001
20000177,DEN,SAS,102,92,48,2001
20000178,UTA,BKN,97,85,48,2001
20000179,PHX,GSW,80,74,48,2001
20000180,LAL,MIN,115,108,48,2001
20000181,SEA,LAC,98,81,48,2001
20000182,NYK,TOR,75,79,48,2001
20000183,WAS,MIL,107,100,48,2001
20000184,ORL,ATL,114,92,48,2001
20000185,MIA,HOU,80,91,48,2001
20000186,CHA,CLE,109,98,48,2001
20000187,DAL,DEN,108,84,48,2001
20000188,SAS,PHI,96,76,48,2001
20000189,LAC,PHX,89,95,48,2001
20000190,GSW,MIN,114,93,48,2001
20000191,SAC,SEA,125,101,48,2001
20000192,POR,BKN,86,84,48,2001
20000193,BOS,VAN,87,98,48,2001
20000194,TOR,CHI,101,89,48,2001
20000195,DET,UTA,79,94,48,2001
20000196,NYK,VAN,97,72,48,2001
20000197,ORL,MIL,95,104,48,2001
20000198,LAC,LAL,83,98,48,2001
20000199,BKN,UTA,92,98,48,2001
20000200,WAS,ATL,75,102,48,2001
20000201,MIA,MIL,101,102,48,2001
20000202,CLE,BOS,72,87,48,2001
20000203,CHI,MIN,76,96,48,2001
20000204,DAL,TOR,107,93,48,2001
20000205,HOU,SAC,81,88,48,2001
20000206,LAL,IND,124,107,48,2001
20000207,POR,SEA,93,105,48,2001
20000208,NYK,MIA,81,84,48,2001
20000209,PHI,WAS,93,87,48,2001
20000210,ORL,UTA,86,88,48,2001
20000211,CHA,TOR,103,79,48,2001
20000212,DET,BKN,97,76,48,2001
20000213,MIN,DEN,100,107,48,2001
20000214,SAS,SAC,82,79,48,2001
20000215,LAC,GSW,106,83,48,2001
20000216,VAN,PHX,109,106,48,2001
20000217,ATL,CHI,82,91,48,2001
20000218,MIL,BOS,108,97,48,2001
20000219,DEN,HOU,105,109,48,2001
20000220,GSW,IND,99,95,48,2001
20000221,POR,DAL,95,84,48,2001
20000222,SEA,LAL,121,88,48,2001
20000223,BOS,MIN,98,102,48,2001
20000224,PHI,CHA,95,74,48,2001
20000225,ORL,BKN,83,80,48,2001
20000226,MIA,UTA,92,94,48,2001
20000227,TOR,LAC,104,95,48,2001
20000228,DET,CLE,103,93,48,2001
20000229,CHI,NYK,86,91,48,2001
20000230,LAL,SAS,109,100,48,2001
20000231,SAC,PHX,105,98,48,2001
20000232,VAN,IND,76,86,48,2001
20000233,NYK,MIN,100,90,48,2001
20000234,BKN,ORL,74,95,48,2001
20000235,WAS,MIA,90,93,48,2001
20000236,CHA,UTA,94,89,48,2001
20000237,ATL,MIL,101,94,48,2001
20000238,CLE,PHI,78,112,48,2001
20000239,HOU,POR,85,96,48,2001
20000240,DEN,SEA,103,92,48,2001
20000241,GSW,DAL,78,97,48,2001
20000242,BOS,LAC,96,87,48,2001
20000243,DET,WAS,93,87,48,2001
20000244,MIL,IND,92,80,48,2001
20000245,PHX,POR,84,79,48,2001
20000246,LAL,DAL,99,97,48,2001
20000247,SEA,GSW,118,102,48,2001
20000248,VAN,SAS,79,97,48,2001
20000249,NYK,LAC,106,78,48,2001
20000250,DEN,PHI,105,98,48,2001
20000251,ORL,BOS,101,98,48,2001
20000252,ATL,MIA,92,100,48,2001
20000253,CLE,CHA,71,66,48,2001
20000254,IND,BKN,88,64,48,2001
20000255,MIN,CHI,100,90,48,2001
20000256,HOU,DAL,109,102,48,2001
20000257,UTA,TOR,98,84,48,2001
20000258,LAL,PHI,96,85,48,2001
20000259,SAC,SAS,81,75,48,2001
20000260,VAN,DET,91,83,48,2001
20000261,BKN,MIL,87,109,48,2001
20000262,WAS,LAC,88,93,48,2001
20000263,MIA,DEN,95,78,48,2001
20000264,CHA,IND,91,88,48,2001
20000265,CHI,CLE,88,92,48,2001
20000266,DAL,NYK,94,85,48,2001
20000267,GSW,LAL,125,122,48,2001
20000268,POR,TOR,95,88,48,2001
20000269,SEA,DET,99,112,48,2001
20000270,ORL,DEN,103,93,48,2001
20000271,MIL,PHX,96,104,48,2001
20000272,MIN,WAS,105,88,48,2001
20000273,SAS,NYK,83,86,48,2001
20000274,UTA,VAN,98,87,48,2001
20000275,BOS,IND,91,104,48,2001
20000276,BKN,PHX,86,84,48,2001
20000277,MIA,ATL,80,76,48,2001
20000278,CHA,LAC,92,87,48,2001
20000279,DAL,CHI,105,86,48,2001
20000280,LAL,SEA,95,103,48,2001
20000281,GSW,TOR,92,108,48,2001
20000282,SAC,HOU,111,98,48,2001
20000283,POR,PHI,94,107,48,2001
20000284,NYK,DEN,96,88,48,2001
20000285,CLE,ATL,97,90,48,2001
20000286,IND,CHA,99,96,48,2001
20000287,MIL,WAS,99,91,48,2001
20000288,MIN,LAC,85,73,48,2001
20000289,SAS,CHI,105,81,48,2001
20000290,UTA,GSW,125,114,48,2001
20000291,POR,DET,114,83,48,2001
20000292,SEA,HOU,104,111,48,2001
20000293,VAN,PHI,79,83,48,2001
20000294,BOS,DEN,104,102,48,2001
20000295,BKN,DAL,73,99,48,2001
20000296,TOR,PHX,87,95,48,2001
20000297,LAL,DET,112,88,48,2001
20000298,SAC,MIA,101,97,48,2001
20000299,PHI,MIN,91,96,48,2001
20000300,CHI,PHX,80,86,48,2001
20000301,UTA,SAS,83,91,48,2001
20000302,LAC,ORL,92,80,48,2001
20000303,VAN,HOU,75,82,48,2001
20000304,BKN,MIN,116,94,48,2001
20000305,ATL,SAC,107,99,48,2001
20000306,TOR,IND,104,90,48,2001
20000307,CLE,DAL,92,87,48,2001
20000308,DEN,MIA,85,96,48,2001
20000309,LAL,MIL,105,109,48,2001
20000310,GSW,POR,93,101,48,2001
20000311,SEA,ORL,97,92,48,2001
20000312,BOS,CHI,86,104,48,2001
20000313,WAS,PHI,82,102,48,2001
20000314,CHA,SAC,101,90,48,2001
20000315,DET,ATL,92,69,48,2001
20000316,IND,DAL,97,92,48,2001
20000317,UTA,MIL,102,111,48,2001
20000318,PHX,SAS,103,93,48,2001
20000319,LAC,MIA,88,94,48,2001
20000320,POR,LAL,96,86,48,2001
20000321,VAN,SEA,93,94,48,2001
20000322,TOR,NYK,70,68,48,2001
20000323,SAS,DEN,96,102,48,2001
20000324,GSW,HOU,95,98,48,2001
20000325,BOS,SAC,81,104,48,2001
20000326,NYK,UTA,58,89,48,2001
20000327,PHI,DAL,94,112,48,2001
20000328,WAS,CHA,89,103,48,2001
20000329,DET,MIN,90,99,48,2001
20000330,IND,CLE,95,103,48,2001
20000331,CHI,ATL,74,85,48,2001
20000332,MIL,TOR,104,97,48,2001
20000333,PHX,LAC,88,98,48,2001
20000334,LAL,VAN,98,76,48,2001
20000335,POR,ORL,106,96,48,2001
20000336,SEA,MIA,99,81,48,2001
20000337,CHA,BOS,99,87,48,2001
20000338,ATL,BKN,83,89,48,2001
20000339,CLE,UTA,99,92,48,2001
20000340,CHI,PHI,91,99,48,2001
20000341,MIN,IND,113,110,48,2001
20000342,HOU,DEN,100,102,48,2001
20000343,SAS,PHX,90,82,48,2001
20000344,GSW,MIA,85,93,48,2001
20000345,NYK,MIL,100,97,48,2001
20000346,BKN,SAC,79,95,48,2001
20000347,TOR,LAL,101,104,48,2001
20000348,DET,DAL,90,99,48,2001
20000349,LAC,WAS,94,103,48,2001
20000350,VAN,ORL,91,101,48,2001
20000351,BOS,DAL,98,106,48,2001
20000352,MIA,LAL,79,81,48,2001
20000353,ATL,NYK,87,77,48,2001
20000354,TOR,UTA,103,95,48,2001
20000355,CHI,IND,85,90,48,2001
20000356,HOU,SAS,79,86,48,2001
20000357,PHX,DET,84,89,48,2001
20000358,GSW,MIN,120,99,48,2001
20000359,SAC,WAS,106,72,48,2001
20000360,BOS,BKN,99,86,48,2001
20000361,PHI,UTA,89,91,48,2001
20000362,CHA,MIA,65,56,48,2001
20000363,IND,TOR,98,99,48,2001
20000364,DAL,POR,106,101,48,2001
20000365,SAS,CLE,94,77,48,2001
20000366,DEN,DET,108,106,48,2001
20000367,LAC,MIN,103,96,48,2001
20000368,SEA,SAC,89,85,48,2001
20000369,VAN,WAS,118,104,48,2001
20000370,NYK,BOS,86,92,48,2001
20000371,ORL,CHI,99,88,48,2001
20000372,MIL,BKN,80,78,48,2001
20000373,HOU,LAL,94,99,48,2001
20000374,PHI,NYK,71,91,48,2001
20000375,MIA,CLE,103,95,48,2001
20000376,TOR,ATL,72,78,48,2001
20000377,IND,UTA,101,109,48,2001
20000378,MIN,CHA,74,83,48,2001
20000379,DAL,LAL,103,108,48,2001
20000380,SAS,GSW,105,87,48,2001
20000381,DEN,POR,116,96,48,2001
20000382,SEA,WAS,107,87,48,2001
20000383,VAN,SAC,93,95,48,2001
20000384,BKN,MIA,80,86,48,2001
20000385,ORL,CLE,111,92,48,2001
20000386,CHA,SAS,88,84,48,2001
20000387,ATL,IND,91,87,48,2001
20000388,DET,CHI,106,93,48,2001
20000389,MIL,BOS,104,99,48,2001
20000390,MIN,UTA,92,98,48,2001
20000391,HOU,GSW,87,95,48,2001
20000392,PHX,DEN,102,93,48,2001
20000393,LAC,VAN,92,90,48,2001
20000394,SAC,SEA,97,92,48,2001
20000395,POR,WAS,87,70,48,2001
20000396,IND,ORL,103,93,48,2001
20000397,LAL,POR,104,109,48,2001
20000398,BKN,ATL,76,81,48,2001
20000399,CHA,CLE,115,110,48,2001
20000400,DET,BOS,101,96,48,2001
20000401,MIL,ORL,89,77,48,2001
20000402,MIN,TOR,100,97,48,2001
20000403,DAL,SEA,114,93,48,2001
20000404,SAS,HOU,103,95,48,2001
20000405,DEN,LAC,109,108,48,2001
20000406,UTA,PHI,91,97,48,2001
20000407,VAN,PHX,95,97,48,2001
20000408,WAS,NYK,82,89,48,2001
20000409,MIA,IND,91,79,48,2001
20000410,HOU,SEA,92,107,48,2001
20000411,GSW,PHI,110,118,48,2001
20000412,BKN,BOS,111,112,48,2001
20000413,ORL,DET,102,96,48,2001
20000414,CLE,MIL,89,107,48,2001
20000415,CHI,SAS,105,104,48,2001
20000416,MIN,ATL,88,81,48,2001
20000417,DAL,LAC,105,96,48,2001
20000418,DEN,TOR,93,94,48,2001
20000419,UTA,POR,102,103,48,2001
20000420,PHX,LAL,78,115,48,2001
20000421,SAC,CHA,91,87,48,2001
20000422,NYK,CHI,95,68,48,2001
20000423,MIA,WAS,98,91,48,2001
20000424,ATL,CLE,85,97,48,2001
20000425,GSW,UTA,100,89,48,2001
20000426,POR,VAN,104,81,48,2001
20000427,BOS,ORL,90,95,48,2001
20000428,DET,MIA,102,110,48,2001
20000429,IND,SAS,77,89,48,2001
20000430,MIN,NYK,79,88,48,2001
20000431,DAL,HOU,99,114,48,2001
20000432,DEN,MIL,120,113,48,2001
20000433,PHX,TOR,109,103,48,2001
20000434,LAC,LAL,114,116,48,2001
20000435,SAC,PHI,104,107,48,2001
20000436,SEA,CHA,104,102,48,2001
20000437,VAN,GSW,101,102,48,2001
20000438,WAS,DET,110,96,48,2001
20000439,CHI,BKN,86,77,48,2001
20000440,MIN,HOU,106,96,48,2001
20000441,POR,CHA,89,67,48,2001
20000442,WAS,MIN,115,108,48,2001
20000443,ORL,BKN,110,120,48,2001
20000444,ATL,BOS,92,81,48,2001
20000445,CLE,HOU,95,100,48,2001
20000446,CHI,MIL,70,104,48,2001
20000447,SAS,MIA,80,72,48,2001
20000448,LAC,TOR,110,97,48,2001
20000449,SAC,PHX,121,117,48,2001
20000450,SEA,IND,83,91,48,2001
20000451,BOS,NYK,91,100,48,2001
20000452,PHI,ATL,98,80,48,2001
20000453,MIL,CLE,88,83,48,2001
20000454,DAL,DET,104,107,48,2001
20000455,PHX,LAC,90,85,48,2001
20000456,LAL,UTA,82,71,48,2001
20000457,GSW,DEN,100,111,48,2001
20000458,POR,IND,102,86,48,2001
20000459,VAN,CHA,99,89,48,2001
20000460,NYK,ORL,95,92,48,2001
20000461,MIA,BKN,81,78,48,2001
20000462,CHI,WAS,98,96,48,2001
20000463,MIN,SEA,105,92,48,2001
20000464,HOU,DET,107,97,48,2001
20000465,BOS,GSW,88,100,48,2001
20000466,PHI,SEA,121,89,48,2001
20000467,TOR,DAL,105,115,48,2001
20000468,DEN,UTA,100,87,48,2001
20000469,PHX,VAN,108,76,48,2001
20000470,LAC,CHA,73,86,48,2001
20000471,SAC,IND,91,93,48,2001
20000472,POR,MIL,119,115,48,2001
20000473,BKN,GSW,97,92,48,2001
20000474,WAS,DAL,85,103,48,2001
20000475,MIA,BOS,112,86,48,2001
20000476,ATL,ORL,83,82,48,2001
20000477,CLE,PHI,103,107,48,2001
20000478,HOU,UTA,97,99,48,2001
20000479,SAS,DET,108,101,48,2001
20000480,NYK,WAS,103,87,48,2001
20000481,TOR,SEA,94,92,48,2001
20000482,DEN,CHA,94,87,48,2001
20000483,PHX,MIN,88,108,48,2001
20000484,LAL,LAC,95,118,48,2001
20000485,VAN,MIL,120,117,48,2001
20000486,BOS,POR,90,98,48,2001
20000487,MIA,GSW,88,78,48,2001
20000488,CLE,BKN,92,90,48,2001
20000489,CHI,DAL,91,104,48,2001
20000490,LAC,IND,82,85,48,2001
20000491,SAC,MIN,100,97,48,2001
20000492,BKN,PHI,87,104,48,2001
20000493,ORL,SAS,95,112,48,2001
20000494,CHA,CHI,102,95,48,2001
20000495,ATL,SEA,86,95,48,2001
20000496,TOR,HOU,91,110,48,2001
20000497,MIL,WAS,99,95,48,2001
20000498,UTA,IND,103,99,48,2001
20000499,VAN,DEN,105,112,48,2001
20000500,BOS,MIA,88,76,48,2001
20000501,PHI,POR,75,93,48,2001
20000502,WAS,SEA,101,104,48,2001
20000503,DET,TOR,85,110,48,2001
20000504,MIN,DAL,86,106,48,2001
20000505,LAC,DEN,92,86,48,2001
20000506,SAC,CLE,108,103,48,2001
20000507,NYK,HOU,75,76,48,2001
20000508,BKN,ORL,87,101,48,2001
20000509,CHA,POR,70,83,48,2001
20000510,ATL,GSW,107,96,48,2001
20000511,MIL,DAL,102,94,48,2001
20000512,PHX,IND,93,85,48,2001
20000513,BOS,TOR,72,93,48,2001
20000514,WAS,PHI,82,86,48,2001
20000515,DET,SAS,90,111,48,2001
20000516,CHI,CHA,85,86,48,2001
20000517,MIN,LAC,95,89,48,2001
20000518,DEN,SAC,106,93,48,2001
20000519,LAL,CLE,101,98,48,2001
20000520,SEA,VAN,115,102,48,2001
20000521,NYK,POR,91,78,48,2001
20000522,PHI,SAS,100,83,48,2001
20000523,ORL,GSW,111,94,48,2001
20000524,ATL,LAC,108,88,48,2001
20000525,IND,MIA,87,71,48,2001
20000526,MIL,BKN,115,81,48,2001
20000527,DAL,PHX,86,103,48,2001
20000528,HOU,SAC,81,84,48,2001
20000529,UTA,LAL,111,103,48,2001
20000530,VAN,CLE,119,107,48,2001
20000531,MIA,CHI,90,81,48,2001
20000532,TOR,CHA,107,99,48,2001
20000533,DET,POR,96,103,48,2001
20000534,PHX,SEA,87,106,48,2001
20000535,NYK,SAS,104,82,48,2001
20000536,PHI,CHA,84,79,48,2001
20000537,WAS,MIL,95,101,48,2001
20000538,ORL,CHI,113,104,48,2001
20000539,ATL,BKN,78,84,48,2001
20000540,IND,LAC,89,74,48,2001
20000541,MIN,BOS,102,107,48,2001
20000542,DAL,SAC,105,116,48,2001
20000543,DEN,SEA,122,111,48,2001
20000544,UTA,HOU,116,104,48,2001
20000545,LAL,VAN,113,112,48,2001
20000546,GSW,CLE,101,107,48,2001
20000547,MIA,DET,93,85,48,2001
20000548,MIL,LAC,112,91,48,2001
20000549,HOU,TOR,114,99,48,2001
20000550,POR,CLE,103,83,48,2001
20000551,BKN,WAS,108,89,48,2001
20000552,PHI,CHI,99,88,48,2001
20000553,CHA,DAL,90,91,48,2001
20000554,SAS,TOR,91,98,48,2001
20000555,DEN,VAN,121,97,48,2001
20000556,UTA,MIN,81,89,48,2001
20000557,SAC,BOS,111,106,48,2001
20000558,SEA,PHX,80,89,48,2001
20000559,IND,ATL,84,76,48,2001
20000560,CHI,DET,110,116,48,2001
20000561,DAL,ORL,115,106,48,2001
20000562,LAC,BOS,79,82,48,2001
20000563,GSW,HOU,104,112,48,2001
20000564,POR,MIA,85,74,48,2001
20000565,PHI,BKN,97,86,48,2001
20000566,CHA,MIL,98,105,48,2001
20000567,TOR,WAS,101,79,48,2001
20000568,DET,NYK,91,97,48,2001
20000569,DEN,CLE,91,88,48,2001
20000570,PHX,GSW,95,103,48,2001
20000571,LAL,HOU,114,101,48,2001
20000572,SEA,MIN,93,98,48,2001
20000573,VAN,MIA,86,97,48,2001
20000574,BKN,CHI,123,103,48,2001
20000575,DAL,DEN,97,79,48,2001
20000576,SAS,ORL,109,112,48,2001
20000577,POR,SAC,101,111,48,2001
20000578,NYK,IND,74,87,48,2001
20000579,PHI,TOR,106,110,48,2001
20000580,WAS,ATL,94,90,48,2001
20000581,DET,MIL,98,102,48,2001
20000582,UTA,PHX,109,98,48,2001
20000583,LAL,MIA,92,103,48,2001
20000584,GSW,BOS,94,91,48,2001
20000585,SEA,SAC,109,107,48,2001
20000586,VAN,MIN,94,96,48,2001
20000587,CLE,POR,84,58,48,2001
20000588,BOS,ATL,83,82,48,2001
20000589,WAS,CHA,97,95,48,2001
20000590,ORL,TOR,116,111,48,2001
20000591,CHI,POR,100,104,48,2001
20000592,MIL,NYK,105,91,48,2001
20000593,MIN,PHX,82,73,48,2001
20000594,DAL,PHI,98,114,48,2001
20000595,SAS,VAN,110,77,48,2001
20000596,DEN,HOU,105,100,48,2001
20000597,UTA,GSW,100,78,48,2001
20000598,SAC,BKN,130,104,48,2001
20000599,SEA,LAL,91,80,48,2001
20000600,MIA,TOR,103,83,48,2001
20000601,CHA,NYK,81,67,48,2001
20000602,CLE,CHI,94,86,48,2001
20000603,DET,PHX,73,106,48,2001
20000604,HOU,PHI,84,85,48,2001
20000605,LAC,SEA,110,114,48,2001
20000606,GSW,BKN,109,87,48,2001
20000607,IND,POR,82,92,48,2001
20000608,MIN,ORL,109,100,48,2001
20000609,DAL,VAN,120,83,48,2001
20000610,UTA,DEN,98,96,48,2001
20000611,SAC,SAS,91,97,48,2001
20000612,BOS,PHX,99,83,48,2001
20000613,PHI,DET,105,89,48,2001
20000614,ATL,WAS,99,106,48,2001
20000615,HOU,VAN,106,89,48,2001
20000616,LAL,BKN,113,101,48,2001
20000617,GSW,SEA,105,107,48,2001
20000618,WAS,PHX,89,82,48,2001
20000619,ORL,MIA,59,81,48,2001
20000620,CHA,HOU,97,110,48,2001
20000621,CLE,ATL,90,101,48,2001
20000622,CHI,TOR,80,90,48,2001
20000623,MIL,DET,103,108,48,2001
20000624,MIN,POR,93,80,48,2001
20000625,DEN,DAL,102,100,48,2001
20000626,UTA,SAS,86,99,48,2001
20000627,LAC,SAC,89,101,48,2001
20000628,SEA,BKN,106,97,48,2001
20000629,NYK,LAL,91,81,48,2001
20000630,IND,PHI,81,86,48,2001
20000631,BOS,DET,99,87,48,2001
20000632,WAS,CLE,95,89,48,2001
20000633,ATL,PHX,82,95,48,2001
20000634,MIN,MIL,99,96,48,2001
20000635,DEN,UTA,91,97,48,2001
20000636,LAC,SAS,67,96,48,2001
20000637,GSW,CHA,85,93,48,2001
20000638,VAN,BKN,97,86,48,2001
20000639,ORL,IND,93,86,48,2001
20000640,TOR,PHI,96,89,48,2001
20000641,CLE,LAL,96,102,48,2001
20000642,HOU,MIA,85,103,48,2001
20000643,SAC,GSW,105,79,48,2001
20000644,POR,CHI,92,81,48,2001
20000645,SEA,UTA,88,102,48,2001
20000646,BKN,DET,103,112,48,2001
20000647,WAS,ORL,96,100,48,2001
20000648,ATL,TOR,102,97,48,2001
20000649,IND,BOS,96,102,48,2001
20000650,MIL,DEN,116,111,48,2001
20000651,MIN,LAL,96,83,48,2001
20000652,SAS,LAC,92,70,48,2001
20000653,PHX,VAN,101,92,48,2001
20000654,NYK,PHI,80,87,48,2001
20000655,CLE,MIN,81,90,48,2001
20000656,DAL,MIA,95,91,48,2001
20000657,HOU,LAC,84,101,48,2001
20000658,UTA,CHA,87,76,48,2001
20000659,POR,PHX,100,92,48,2001
20000660,SEA,CHI,97,91,48,2001
20000661,BKN,NYK,71,95,48,2001
20000662,PHI,ORL,117,123,48,2001
20000663,ATL,MIA,80,91,48,2001
20000664,DET,BOS,95,102,48,2001
20000665,IND,DEN,103,94,48,2001
20000666,LAL,CHA,93,87,48,2001
20000667,SAC,VAN,105,95,48,2001
20000668,WAS,DEN,100,105,48,2001
20000669,ORL,ATL,96,84,48,2001
20000670,TOR,MIN,105,108,48,2001
20000671,CLE,DET,81,88,48,2001
